649	701
651	701
651	702
652	702
652	703
653	703
653	702
654	702
654	703
656	703
656	704
657	704
657	705
662	705
662	706
663	706
663	708
664	708
664	711
665	711
665	710
666	710
666	712
665	712
665	713
666	713
666	715
667	715
667	717
668	717
668	718
669	718
669	719
671	719
671	720
672	720
672	722
673	722
673	723
674	723
674	724
675	724
675	725
678	725
678	726
679	726
679	728
681	728
681	727
682	727
682	728
686	728
686	730
688	730
688	731
687	731
687	732
688	732
688	733
689	733
689	732
690	732
690	734
692	734
692	736
690	736
690	735
686	735
686	734
683	734
683	733
680	733
680	732
675	732
675	733
674	733
674	735
673	735
673	732
672	732
672	731
665	731
665	730
661	730
661	729
658	729
658	728
657	728
657	726
655	726
655	725
649	725
649	726
647	726
647	725
645	725
645	726
644	726
644	724
643	724
643	723
642	723
642	722
641	722
641	721
639	721
639	720
638	720
638	719
636	719
636	718
634	718
634	717
632	717
632	716
631	716
631	715
629	715
629	714
627	714
627	713
624	713
624	712
623	712
623	711
622	711
622	710
620	710
620	706
619	706
619	705
612	705
612	706
610	706
610	705
609	705
609	704
608	704
608	703
607	703
607	702
606	702
606	701
605	701
605	700
603	700
603	698
602	698
602	697
601	697
601	696
600	696
600	695
599	695
599	693
598	693
598	692
597	692
597	691
596	691
596	690
594	690
594	689
592	689
592	688
590	688
590	687
587	687
587	686
582	686
582	684
581	684
581	682
580	682
580	681
578	681
578	680
577	680
577	679
576	679
576	678
575	678
575	677
574	677
574	676
572	676
572	675
571	675
571	674
570	674
570	671
566	671
566	670
565	670
565	669
564	669
564	670
562	670
562	669
561	669
561	668
560	668
560	667
559	667
559	666
558	666
558	664
557	664
557	663
556	663
556	661
555	661
555	660
554	660
554	659
553	659
553	658
551	658
551	657
549	657
549	656
548	656
548	655
547	655
547	654
546	654
546	653
545	653
545	652
544	652
544	651
542	651
542	650
541	650
541	651
540	651
540	648
543	648
543	646
542	646
542	645
541	645
541	644
542	644
542	643
543	643
543	644
545	644
545	645
550	645
550	646
552	646
552	647
554	647
554	648
556	648
556	649
558	649
558	650
561	650
561	652
565	652
565	653
567	653
567	654
569	654
569	655
571	655
571	656
572	656
572	657
574	657
574	658
576	658
576	659
577	659
577	660
579	660
579	661
581	661
581	662
582	662
582	663
583	663
583	664
585	664
585	665
588	665
588	666
590	666
590	667
594	667
594	668
595	668
595	669
597	669
597	671
599	671
599	672
601	672
601	673
605	673
605	674
608	674
608	675
611	675
611	676
612	676
612	678
613	678
613	679
615	679
615	680
616	680
616	679
618	679
618	681
617	681
617	682
619	682
619	683
621	683
621	684
628	684
628	686
629	686
629	685
631	685
631	686
633	686
633	687
634	687
634	688
635	688
635	689
637	689
637	690
638	690
638	691
641	691
641	692
642	692
642	693
643	693
643	694
644	694
644	696
645	696
645	697
648	697
648	699
649	699
